EventNo,EventName,TagName,TagDataType,AlarmState,LimitMin,LimitMax,Week,StartTime,EndTime,AllDayEvent,EveryHour,EveryMin,Valid,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9,Log,Confirmation,AlarmSave,AlarmDisplay,AlarmTextColor,AlarmBackColor,AlarmTextBlink,AlarmBackBlink
_DO NOT MODIFY THIS ROW_,,,,,,,,,,,,,,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************,****************************************************************************************************************************************************************************************************************************************************************
1,Valve Sump Lockout,ValveSump_Lockout_Alarm_HMI,D,ON,0,4294967295,,,,,,,True,Valve Chamber Sump is in 60 minute lockout,,,,,,,,,True,False,False,True,0,16,False,False
2,Meter Sump Lockout,MeterSump_Lockout_Alarm_HMI,D,ON,0,4294967295,,,,,,,True,Meter Chamber Sump is in 60 minute lockout,,,,,,,,,True,False,False,True,0,16,False,False
3,Dam Level High,Dam_Level_Alarm_HI_HMI,D,ON,0,4294967295,,,,,,,True,Dam High Level alarm,,,,,,,,,True,False,False,True,0,16,False,False
4,Dam Low Low,Dam_Level_Alarm_LO_HMI,D,ON,0,4294967295,,,,,,,True,Dam Low Level alarm,,,,,,,,,True,False,False,True,0,16,False,False
6,Analog OOR Alarm,Analog_OOR_General_Alarm_HMI,D,ON,0,4294967295,,,,,,,True,Analog Input is Out of Range,,,,,,,,,True,False,False,True,0,16,False,False
7,Genset Low Fuel,Genset_LowFuel_HMI,D,ON,0,4294967295,,,,,,,True,The Genset is Low on Fuel,,,,,,,,,True,False,False,True,0,16,False,False
8,Genset Fault,Genset_Fault_HMI,D,ON,0,4294967295,,,,,,,True,The Genset has a fault,,,,,,,,,True,False,False,True,0,12,False,False
9,Bypass Valve High Cal Required,Bypass_HighCal_Required_Warning_HMI,D,ON,0,4294967295,,,,,,,True,Bypass Valve High Calibration Required,,,,,,,,,True,False,False,True,0,31,False,False
10,Bypass Valve Low Cal Required,Bypass_LowCal_Required_Warning_HMI,D,ON,0,4294967295,,,,,,,True,Bypass Valve Low Calibration Required,,,,,,,,,True,False,False,True,0,31,False,False
11,Main Valve High Cal Required,Main_HighCal_Required_Warning_HMI,D,ON,0,4294967295,,,,,,,True,Main Valve High Calibration Required,,,,,,,,,True,False,False,True,0,31,False,False
